Metric		Current
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PRISMA		39
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		43
LOW_RISK_FILE_SIZE_COUNT		16
MEDIUM_RISK_FILE_SIZE_COUNT		8
HIGH_RISK_FILE_SIZE_COUNT		1
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		1,989
LOW_RISK_FILE_SIZE_LOC		2,471
MEDIUM_RISK_FILE_SIZE_LOC		2,462
HIGH_RISK_FILE_SIZE_LOC		533
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		39
LINES_OF_CODE_IN_UNITS		489
LINES_OF_CODE_OUTSIDE_UNITS		6,966
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		160
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		32.72
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		27
UNIT_SIZE_LOW_RISK_LOC		71
UNIT_SIZE_LOW_RISK_PERCENTAGE		14.52
UNIT_SIZE_LOW_RISK_COUNT		4
UNIT_SIZE_MEDIUM_RISK_LOC		192
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		39.26
UNIT_SIZE_MEDIUM_RISK_COUNT		7
UNIT_SIZE_HIGH_RISK_LOC		66
UNIT_SIZE_HIGH_RISK_PERCENTAGE		13.5
UNIT_SIZE_HIGH_RISK_COUNT		1
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		7
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_PERCENTAGE		11.11
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_LOC		35
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		55.56
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_LOC		21
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		33.33
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_NEGLIGIBLE_RISK_LOC		153
UNIT_SIZE_COMPONENT_SPL_NEGLIGIBLE_RISK_PERCENTAGE		35.92
