Metric		Current
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_EXT_TS		25
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_EXT_JS		22
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_EXT_HTML		13
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_SRC		31
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_SRC		2,923
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_SRC_EXT_CSS		14
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_SRC_EXT_CSS		1,546
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_SRC_EXT_TSX		15
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_SRC_EXT_TSX		1,352
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_SRC_EXT_TS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_SRC_EXT_TS		25
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		69
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		7,401
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		9
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		2,586
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		16
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		1,750
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		21
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		1,369
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		15
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		1,352
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PS1		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PS1		140
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		81
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TS		3
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TS		50
